Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Dileno 'No Nickname' Lopes,Dileno Lopes,No Nickname,5.5,135.0,Orthodox,19,3,0,False,3.0,0.0,35.5,2.5,1.5,236.0,0.35,0.3,0.48,0.38,0.3,0.63,0.25,1.5,0.0,Bantamweight,Male,Wrestler
Diego 'No Nickname' Lopes,Diego Lopes,No Nickname,5.11,145.0,Orthodox,27,7,0,False,2.38,0.62,46.0,0.62,1.0,39.12,0.42,0.48,0.54,0.55,0.37,0.58,0.55,0.88,0.12,Featherweight,Male,Wrestler
Bruno 'Brunao' Lopes,Bruno Lopes,Brunao,6.2,205.0,Orthodox,14,2,0,False,2.0,0.0,18.0,2.5,0.0,7.0,0.4,0.24,0.64,0.6,0.36,0.52,0.0,0.0,0.0,Light Heavyweight,Male,Hybrid
Steve 'No Nickname' Lopez,Steve Lopez,No Nickname,5.11,155.0,Orthodox,13,6,1,False,2.5,0.0,14.5,0.0,0.0,206.0,0.27,0.26,0.4,0.0,0.24,0.0,0.3,0.0,0.0,Lightweight,Male,No Clear Style
Jorge 'No Nickname' Lopez,Jorge Lopez,No Nickname,5.1,170.0,Orthodox,11,5,0,False,3.0,0.0,37.0,3.5,0.0,452.5,0.59,0.52,0.84,1.0,0.4,0.8,0.98,0.0,0.5,Welterweight,Male,Striker
Matthew 'No Nickname' Lopez,Matthew Lopez,No Nickname,5.7,135.0,Southpaw,10,4,0,False,2.5,0.0,35.33,2.5,1.0,60.17,0.47,0.38,0.7,0.86,0.44,0.35,0.38,0.67,0.17,Bantamweight,Male,Striker
Benito 'Golden Boy' Lopez,Benito Lopez,Golden Boy,5.1,135.0,Switch,10,2,0,False,2.0,0.25,39.0,0.0,0.25,68.5,0.54,0.33,0.76,0.64,0.48,0.36,0.45,0.25,0.0,Bantamweight,Male,Striker
Gustavo 'No Nickname' Lopez,Gustavo Lopez,No Nickname,5.5,135.0,Orthodox,12,6,1,False,2.5,0.0,26.75,1.25,0.5,47.75,0.42,0.33,0.78,0.56,0.4,0.33,0.34,0.5,0.0,Bantamweight,Male,Hybrid
Brendan 'No Nickname' Loughnane,Brendan Loughnane,No Nickname,5.1,145.0,Switch,17,3,0,False,3.0,1.0,75.0,0.0,0.0,231.0,0.33,0.23,0.9,0.64,0.31,0.58,1.0,0.0,0.0,Lightweight,Male,Striker
Nate 'No Nickname' Loughran,Nate Loughran,No Nickname,6.2,185.0,Orthodox,11,2,0,False,1.5,0.0,13.0,0.0,1.0,0.0,0.36,0.1,0.32,0.79,0.36,0.25,0.0,1.0,0.0,Middleweight,Male,No Clear Style
Caolan 'The Don' Loughran,Caolan Loughran,The Don,5.6,135.0,Orthodox,10,2,0,False,3.0,0.0,71.0,3.0,0.0,189.0,0.42,0.32,0.71,0.87,0.38,0.7,0.58,0.0,0.0,Bantamweight,Male,Striker
Ian 'The Barn Owl' Loveland,Ian Loveland,The Barn Owl,5.8,145.0,Orthodox,18,10,0,False,3.0,0.67,40.67,1.0,0.33,183.0,0.4,0.36,0.77,0.5,0.38,0.57,0.54,0.33,0.33,Featherweight,Male,Striker
Waylon 'No Nickname' Lowe,Waylon Lowe,No Nickname,5.7,145.0,Southpaw,16,7,0,False,2.5,0.0,22.0,3.5,0.25,170.0,0.39,0.3,0.62,0.4,0.34,0.38,0.5,0.25,0.0,Lightweight,Male,Wrestler
Robert 'No Nickname' Lucarelli,Robert Lucarelli,No Nickname,6.2,245.0,Orthodox,0,1,0,False,1.0,0.0,2.0,1.0,1.0,95.53399999999999,0.33,0.5,0.0,0.33,0.33,0.0,0.0,1.0,0.0,Open Weight,Male,No Clear Style
Matt 'Luke Duke' Lucas,Matt Lucas,Luke Duke,6.1,205.0,Orthodox,15,3,0,False,3.0,0.0,19.0,1.0,0.0,410.0,0.48,0.49,0.0,0.0,0.41,1.0,1.0,0.0,0.0,Light Heavyweight,Male,Wrestler
Stephanie 'Rondinha' Luciano,Stephanie Luciano,Rondinha,5.6,115.0,Orthodox,6,2,1,False,3.0,0.5,77.0,0.5,0.0,165.5,0.45,0.36,0.7,0.8,0.44,0.73,1.0,0.5,0.0,Women's Strawweight,Female,Striker
Iasmin 'No Nickname' Lucindo,Iasmin Lucindo,No Nickname,5.3,115.0,Orthodox,18,6,0,False,2.86,0.0,45.43,2.14,0.14,112.86,0.37,0.27,0.7,0.56,0.34,0.7,0.43,0.0,0.0,Women's Strawweight,Female,Striker
